ID,Label
1,0
2,1
3,0
4,2
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,2
13,0
14,2
15,2
16,0
17,0
18,0
19,3
20,2
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,3
31,0
32,1
33,3
34,0
35,0
36,0
37,0
38,0
39,2
40,0
41,0
42,0
43,0
44,0
45,3
46,3
47,0
48,4
49,0
50,0
51,0
52,3
53,0
54,0
55,0
56,0
57,3
58,0
59,0
60,0
61,0
62,0
63,3
64,0
65,0
66,0
67,0
68,0
69,0
70,3
71,0
72,0
73,0
74,0
75,3
76,0
77,0
78,3
79,0
80,0
81,3
82,2
83,0
84,0
85,0
86,3
87,0
88,0
89,2
90,0
91,1
92,3
93,0
94,3
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,3
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,3
112,3
113,0
114,1
115,0
116,0
117,0
118,0
119,2
120,0
121,0
122,3
123,0
124,0
125,0
126,2
127,4
128,1
129,0
130,0
131,0
132,3
133,3
134,2
135,0
136,0
137,0
138,0
139,3
140,0
141,0
142,0
143,0
144,0
145,2
146,0
147,3
148,2
149,0
150,0
151,3
152,0
153,2
154,0
155,3
156,0
157,0
158,0
159,3
160,0
161,0
162,0
163,0
164,3
165,0
166,2
167,3
168,1
169,3
170,0
171,2
172,0
173,2
174,0
175,1
176,3
177,0
178,0
179,0
180,0
181,0
182,3
183,0
184,0
185,0
186,1
187,0
188,3
189,1
190,2
191,2
192,3
193,2
194,0
195,0
196,0
197,2
198,3
199,0
200,0
201,3
202,0
203,3
204,0
205,1
206,2
207,2
208,2
209,0
210,0
211,0
212,2
213,2
214,0
215,0
216,0
217,0
218,3
219,1
220,2
221,0
222,0
223,3
224,0
225,2
226,3
227,2
228,0
229,3
230,0
231,0
232,2
233,0
234,0
235,2
236,3
237,2
238,3
239,0
240,3
241,2
242,0
243,0
244,0
245,0
246,3
247,0
248,3
249,2
250,0
251,1
252,0
253,3
254,1
255,0
256,0
257,2
258,0
259,0
260,2
261,2
262,0
263,2
264,3
265,1
266,0
267,0
268,0
269,0
270,0
271,2
272,3
273,2
274,3
275,0
276,0
277,2
278,0
279,3
280,3
281,4
282,0
283,3
284,0
285,0
286,3
287,0
288,0
289,0
290,3
291,0
292,0
293,2
294,3
295,0
296,2
297,0
298,3
299,0
300,2
301,0
302,0
303,3
304,3
305,0
306,2
307,0
308,3
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,2
317,2
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,2
326,3
327,0
328,3
329,3
330,3
331,2
332,2
333,2
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,3
345,0
346,0
347,2
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,3
356,3
357,3
358,3
359,0
360,3
361,0
362,0
363,3
364,0
365,2
366,3
367,2
368,3
369,0
370,0
371,0
372,0
373,0
374,2
375,0
376,3
377,2
378,0
379,0
380,0
381,0
382,0
383,0
384,3
385,0
386,0
387,2
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,2
399,0
400,0
